combo,hidden_dim,out_channels,model,val_acc,test_acc,FLOPs(M),Params(K)
RGB,64,32,DynamicConv,4.444444444444445,5.555555555555555,0.089888,58.066
RG,64,32,DynamicConv,5.777777777777778,5.333333333333333,0.089888,58.066
RB,64,32,DynamicConv,6.444444444444445,4.0,0.089888,58.066
GB,64,32,DynamicConv,4.666666666666667,5.111111111111111,0.089888,58.066
R,64,32,DynamicConv,4.222222222222222,4.0,0.089888,58.066
G,64,32,DynamicConv,5.111111111111111,4.444444444444445,0.089888,58.066
B,64,32,DynamicConv,5.333333333333333,5.111111111111111,0.089888,58.066
RGB,64,64,DynamicConv,5.777777777777778,6.222222222222222,0.179584,115.826
RG,64,64,DynamicConv,5.777777777777778,6.444444444444445,0.179584,115.826
RB,64,64,DynamicConv,7.111111111111111,4.666666666666667,0.179584,115.826
GB,64,64,DynamicConv,4.0,6.0,0.179584,115.826
R,64,64,DynamicConv,5.555555555555555,5.333333333333333,0.179584,115.826
G,64,64,DynamicConv,4.444444444444445,5.555555555555555,0.179584,115.826
B,64,64,DynamicConv,5.111111111111111,3.7777777777777777,0.179584,115.826
RGB,64,128,DynamicConv,5.555555555555555,6.666666666666667,0.358976,231.346
RG,64,128,DynamicConv,5.333333333333333,6.666666666666667,0.358976,231.346
RB,64,128,DynamicConv,6.888888888888889,6.222222222222222,0.358976,231.346
GB,64,128,DynamicConv,5.333333333333333,7.111111111111111,0.358976,231.346
R,64,128,DynamicConv,6.222222222222222,5.555555555555555,0.358976,231.346
G,64,128,DynamicConv,6.444444444444445,4.444444444444445,0.358976,231.346
B,64,128,DynamicConv,6.444444444444445,6.444444444444445,0.358976,231.346
RGB,128,32,DynamicConv,5.555555555555555,6.888888888888889,0.145376,113.618
RG,128,32,DynamicConv,4.444444444444445,7.111111111111111,0.145376,113.618
RB,128,32,DynamicConv,4.888888888888889,6.0,0.145376,113.618
GB,128,32,DynamicConv,5.777777777777778,5.333333333333333,0.145376,113.618
R,128,32,DynamicConv,4.444444444444445,5.777777777777778,0.145376,113.618
G,128,32,DynamicConv,5.111111111111111,6.0,0.145376,113.618
B,128,32,DynamicConv,5.111111111111111,6.222222222222222,0.145376,113.618
RGB,128,64,DynamicConv,5.333333333333333,7.333333333333333,0.290368,226.674
RG,128,64,DynamicConv,4.444444444444445,6.0,0.290368,226.674
RB,128,64,DynamicConv,4.0,6.888888888888889,0.290368,226.674
GB,128,64,DynamicConv,4.666666666666667,7.777777777777778,0.290368,226.674
R,128,64,DynamicConv,4.0,6.0,0.290368,226.674
G,128,64,DynamicConv,4.444444444444445,5.555555555555555,0.290368,226.674
B,128,64,DynamicConv,4.444444444444445,6.444444444444445,0.290368,226.674
RGB,128,128,DynamicConv,4.666666666666667,8.222222222222221,0.580352,452.786
RG,128,128,DynamicConv,5.777777777777778,7.777777777777778,0.580352,452.786
RB,128,128,DynamicConv,5.777777777777778,7.333333333333333,0.580352,452.786
GB,128,128,DynamicConv,5.777777777777778,7.555555555555555,0.580352,452.786
R,128,128,DynamicConv,5.333333333333333,7.333333333333333,0.580352,452.786
G,128,128,DynamicConv,4.222222222222222,6.666666666666667,0.580352,452.786
B,128,128,DynamicConv,6.222222222222222,7.111111111111111,0.580352,452.786
